variable	mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail
beta[1]	-0.3373401246552825	-0.336763845	0.21641162322111407	0.21537165329400002	-0.7028096449999999	0.010249630699999726	1.000835500440995	3808.0497950260537	3041.787250307399
beta[2]	0.033469297108066	0.038153143	0.23314582108775425	0.227397548217	-0.358348032	0.41526555449999975	1.0007331056588789	4038.6916199251255	3090.78470885892
beta[3]	0.603598283814575	0.602963275	0.17919081700666895	0.17733613592100003	0.3120025065	0.8990556985	0.9999435034523046	3195.0004901752536	2861.300743703379
beta[4]	-0.0705221547383375	-0.071174147	0.026543404566235797	0.02618814379859999	-0.11304677149999999	-0.02592481215000001	1.000268027063411	2665.8515866931607	2775.6928199939493
beta[5]	0.01819107874724425	0.018162192	0.007623798883217209	0.0073660104756000004	0.005443395185	0.0306401191	1.0008529293633621	4934.314809528458	2947.0881210657976
centered_cov_intercept	0.5150818977525	0.51325366	0.08537651797702502	0.08081714127899996	0.3829812275	0.6576141164999999	1.0002953647944317	3317.4014937277407	2268.752151132447
sigma_resid	0.327591711255	0.32409164999999995	0.06178884297331273	0.059192441763000085	0.231133595	0.4304981909999999	1.0018359226587301	1598.0290951511984	1561.9268465471407
sigma_phylo	0.12859635017865	0.1205825	0.086969962629833	0.0959663317704	0.009588062230000001	0.28426658599999965	1.001890085931206	1105.3813294287525	1694.6268912255118
intercept	0.9604649941356875	0.9645533799999999	0.70276804586521	0.6821767363529998	-0.22397125799999998	2.103475964999999	1.0003478513935746	3755.2758771822646	2959.2924578225025
