lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.216101
# Diagonal elements of inverse mass matrix:
# 0.0185322, 0.000516221, 4.31476e-05, 0.0253064, 0.029554, 0.0184905, 0.0131995, 0.0224344, 0.0128569, 0.00211441, 0.0278172
-5.2744869,0.94523904,0.21610102,4,15,0,11.527154,0.36213003,-0.013067115,0.013810028,-0.23507739,-0.11125669,0.43792133,0.22567868,-0.064015152,0.26766782,0.4748276,0.20144103,-0.4646316,0.34562123,0.61068242,-0.33969558,0.18128339,0.091778995,0.62012266,0.55964275,0.67184801,-0.4697051,-0.032585598,0.59274949,0.082235075,0.4363603,-0.58251697,0.34066684,0.6053622,0.32275064,0.66018613,0.67007733,0.23601338,0.66688071,0.5192364,0.65820616,0.17781306,-0.6111496,0.64325054,0.19320156,-0.60271532,0.59764941,-1.1826744,0.16554944,0.076779239,0.28814034,0.20185088,0.71910656,0.42838359,-0.10018621,0.5305129,0.694098,0.25895905,0.91426533,1.220867,0.85842844,0.17948244,0.66675941,0.92045866,0.17106351,0.9566701,0.032783228,0.69053099,0.46347373,0.38460271,-0.045146079,0.79745267,0.67587773,0.94297438,0.30055944,1.3230646,-0.083383277,-0.38915096
-6.1402298,0.97153925,0.21610102,4,15,0,10.466828,0.16626823,0.021635216,0.0061436983,-0.18287156,-0.22215537,0.50852398,0.29001267,-0.040595212,0.2510978,0.53269554,0.21624219,-0.71845013,0.25916697,0.2335108,-0.36562794,0.47744801,-0.28676575,0.552267,0.55024119,0.48060227,-0.13193573,0.32795491,0.61178552,0.36577373,0.3232251,-0.66090812,0.18895293,0.6075985,-0.50885106,0.29679813,-0.25942253,0.34932716,0.58046186,0.58126697,0.55840211,0.57648694,-1.4930567,0.61241513,0.53538332,-0.022874484,0.48571501,-0.083719372,0.18175944,0.18824424,0.30243705,0.11235013,0.78998771,0.57500251,-0.076255058,0.61102955,0.73615733,0.33689466,0.99231084,1.1518765,0.83554426,0.1549157,0.69900504,0.97877033,0.32382494,1.1718056,0.28554456,0.6568585,0.44533232,0.44602537,0.0710747,0.94203195,0.55625812,0.99950898,0.41512149,1.2437486,0.108855,-0.25515426
-9.0136433,0.95048478,0.21610102,3,7,0,10.413606,0.2558823,0.010981003,-0.00031236745,-0.13358761,-0.21161574,0.52467752,0.37742105,-0.066179658,0.12005078,0.54966244,0.19667953,-0.091865011,0.47101787,-0.92517475,-0.95349099,-0.13123441,-1.2398486,0.19457347,0.51152596,-0.31098768,0.280456,0.3377475,0.40765529,0.39939814,0.34211387,0.10307842,0.12327235,0.62897811,0.39390372,0.58140024,0.1819834,0.03125096,0.68042774,0.63163417,0.68980567,0.56057862,-4.0530556,0.63617634,0.66181992,0.33333774,0.67854024,0.69166539,0.13518717,0.3553772,0.35844617,0.25469437,0.88812099,0.69915541,-0.12305135,0.78067055,0.81829002,0.33092569,1.1522421,1.1543259,0.83192765,0.28380228,0.71255384,0.92218696,0.15569701,1.09867,0.201586,0.72868851,0.45445405,0.42351875,0.036727429,0.89347938,0.3931363,0.92585168,0.44072066,1.1700802,0.047121774,-0.034713485
-6.6914431,0.90461451,0.21610102,3,7,0,13.779987,0.22997006,0.014986869,0.009982425,-0.021679325,-0.16362366,0.49821223,0.24482926,0.030958718,0.17028588,0.51168135,0.20993002,-0.93670104,0.58554797,0.28185863,-0.73909341,0.17822905,-0.20652446,0.52637974,0.55527458,0.21831175,-1.0542437,0.57074615,0.32761554,0.57690752,0.55067695,-1.8150147,0.0071057321,0.64143208,-0.22250585,0.63380951,0.47988676,0.42314086,0.5114166,0.56617447,0.58893292,0.1272198,-0.7567073,0.62957163,0.63128376,0.22836605,0.41249555,-0.25833595,0.070565552,0.17817702,0.34890545,0.20219072,0.77348443,0.6009686,-0.087451876,0.69325669,0.61333122,0.42072739,0.83352484,1.0757699,0.91026109,0.03463129,0.73656734,1.007335,0.27604774,0.97306182,0.11955169,0.63890378,0.39269889,0.4182253,0.068418885,0.78698097,0.64887677,1.0331541,0.53079429,1.1909501,0.14224117,-0.28170989
-9.7863169,0.92383815,0.21610102,4,31,0,16.010971,0.086720348,0.027297906,-0.0017141931,-0.013319536,0.04937256,0.30979554,0.3907903,-0.064360173,0.28017987,0.55555315,0.22729033,-0.45054558,0.53735141,-0.81490978,-0.76158978,0.41353372,-0.26693674,0.26306125,0.485266,0.54909465,-0.60700917,0.18808013,0.28369528,0.33494025,-0.65366367,0.54463689,-0.26300687,0.37442221,-0.99857272,0.56177561,0.094672295,0.31453557,0.46823236,0.55532141,0.089730393,0.52890561,-1.6048579,0.39344258,-0.10744292,0.23459012,0.35031487,0.55542298,0.05106416,0.37726064,0.36988711,0.12409921,0.79275935,0.67591958,0.089381797,0.5373392,0.65237243,0.30328985,1.169752,1.1533657,0.64550691,0.45693261,0.79206505,0.86056656,0.40162417,0.99083507,0.21987711,0.66009147,0.59873729,0.52740175,0.22103518,1.0589931,0.52677231,0.86780142,0.23688624,1.1840907,0.14809625,-0.027209578
-8.4988201,0.9259415,0.21610102,4,31,0,16.361253,0.40971025,-0.021348909,0.015428398,-0.14671227,-0.21937275,0.24860262,0.21551594,0.18861156,0.16078371,0.51965184,0.22701746,-0.38112252,0.28187593,0.29429959,-0.97174935,-0.52586069,-0.27725553,0.56296165,0.55641258,0.12405054,-0.31595169,0.34538097,-0.0125463,0.47969427,0.54002743,-1.258232,-1.1680303,0.56354544,0.39175143,0.45736789,0.56067746,0.30378794,0.55616936,0.40346931,0.22354641,-0.84499001,0.55005641,0.56081912,0.55446357,0.19160625,0.55979659,-0.34357476,0.17046393,0.16666552,0.39783658,0.33513352,0.79443129,0.50923912,0.027575347,0.71289815,0.69887154,0.3499592,0.75626821,1.0931024,0.95050979,0.066637788,0.92249897,0.9949812,0.13316403,0.89526549,-0.017910947,0.66370521,0.47197378,0.37145097,0.18727039,0.61893784,0.96237615,1.0174986,0.4689953,1.1958632,-0.020287853,-0.3058195
-7.1007361,0.89320866,0.21610102,3,15,0,14.092809,0.45381084,-0.018810766,0.010257262,-0.4092425,-0.27148677,0.29624057,0.15338167,0.15283876,0.13167412,0.47090586,0.21051608,0.057553041,-0.51599654,0.63111786,0.28518013,-0.38483812,0.39484059,0.52222517,0.478864,0.59591154,0.35716032,0.081396636,0.61626911,0.29411276,0.51250683,-0.79195695,-0.022985027,0.0099568927,0.63882415,0.63864449,0.32324404,0.17096981,0.0029316851,0.31303749,0.56424629,-0.50894973,-1.0663418,0.078167603,0.4589314,0.013981205,0.42419033,-0.3066106,0.31999154,0.026855199,0.17715265,0.30127974,0.64718495,0.39815305,0.11923119,0.56198129,0.84187611,0.2776372,0.95486347,1.1749038,0.8940086,0.14383421,0.7422746,0.76382801,-0.0061775846,0.99264564,0.1673598,0.70373017,0.26251341,0.32995898,0.081537104,0.6809859,0.61118911,0.77699458,0.37357697,1.2354156,-0.13806529,-0.28954423
-9.9135271,0.86848973,0.21610102,4,31,0,15.239832,0.1164668,0.030088437,0.013134653,-0.018218845,-0.017149958,0.39024919,0.35794083,-0.020037418,0.37950502,0.52522716,0.2360755,-1.567099,0.52414705,0.30796829,-0.82367246,0.52266727,0.075865385,0.41481428,0.49111509,0.51975947,-0.88747098,0.31697873,0.3991201,0.13203685,-0.057884703,-0.51137933,-0.54462564,0.48215646,-1.3817103,0.50161078,0.39895036,0.39760716,0.47368178,0.51672105,0.47759373,0.52390971,0.35497286,0.42222433,0.022100381,-0.75912905,0.34658746,-1.7457808,-0.0075988236,0.15541472,0.3876727,-0.014922582,0.72366199,0.61065411,-0.061152215,0.47661632,0.60326165,0.34785072,0.88170521,1.2091976,0.74518063,0.16017518,0.8452342,1.0688342,0.46096731,1.0506923,0.11837473,0.61900544,0.57538413,0.47024317,0.0724343,1.0091759,0.86247018,1.1068568,0.26331981,1.3782802,0.1408869,-0.50306197
-10.093176,0.99550916,0.21610102,4,15,0,13.272274,0.21531006,-0.0056136803,-0.0006072066,-0.26804997,-0.13038593,0.45725573,0.29925388,-0.17690889,0.30701495,0.43297182,0.22674863,0.30578259,0.37889518,0.22216168,0.27083629,0.48198085,-0.31961338,0.35414904,0.26670824,0.56208917,-0.78488604,-1.4485287,0.42210239,0.46279387,-0.43303481,0.25991234,0.5647928,0.052231308,0.31874938,0.55892732,0.45269497,0.46122481,0.56497454,0.41543607,0.56049235,0.4548124,-4.1374389,0.036901542,-0.5456044,0.49043597,0.33044689,0.48541004,0.13832764,0.18775362,0.1739144,0.092380991,0.80159922,0.35276149,-0.17513054,0.4827745,0.6274332,0.044974373,1.1212087,1.1025048,0.67964832,0.32288556,0.50432479,0.77038,0.15912046,1.0249369,0.10745097,0.60328886,0.50012254,0.37599581,0.021469006,0.89356704,0.30462338,0.76697275,0.16206403,1.0875489,-0.15529477,-0.090452332
-7.9038846,0.99317786,0.21610102,4,15,0,15.446827,0.10297352,0.015635563,0.011305905,-0.16689839,-0.023390205,0.33180201,0.26252075,0.10426243,0.21691107,0.55106088,0.22032075,-0.90121581,0.14218695,0.26984146,-0.81416569,0.55760275,0.10386276,0.59217544,-0.099044714,0.48790144,-0.69872427,0.16936597,0.53247458,0.1975611,-0.2018875,0.25355316,0.0028885123,0.58878993,-0.45850273,0.53295554,-0.08615191,-0.60198809,0.5643889,0.26767023,0.32772618,0.5860441,0.20034931,0.59325397,0.53951225,-0.48960376,0.38443601,-0.50431743,0.2093732,0.17732491,0.36970557,0.059224557,0.71807738,0.48770586,0.25933858,0.60136233,0.64577568,0.29702579,0.92288287,1.1961155,0.72207783,0.318271,0.73950067,0.97809521,0.31961472,1.0768138,0.25691406,0.84071026,0.44662649,0.32208173,0.16070013,1.0273202,0.80457587,1.0068147,0.42744782,1.3243038,0.14254473,-0.32649866
