variable	mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail
beta[1]	0.59126964921175	0.59153046	0.18583695038614312	0.18106044936	0.284823549	0.9007220169999999	1.0009335830729758	3198.6773560706483	2983.5510601333804
beta[2]	-0.06816363732557	-0.06802080599999999	0.02583753130791876	0.0244009688328	-0.1112276465	-0.026641875	1.0008187272426987	3259.053817212733	2561.0392029646046
beta[3]	0.01624021744891575	0.0161005815	0.007672254730205408	0.0073949382255	0.003671683455000001	0.02917993599999999	1.0009835183520632	4620.603892979213	2963.5704161966446
beta[4]	-0.2719775814729875	-0.26851567	0.22045488130067242	0.21548192908199998	-0.624028893	0.09279423779999998	1.0012254017577693	3140.9032325440476	2431.9356663601
beta[5]	0.04803630645511575	0.046046023000000005	0.2416235914367193	0.2325574143102	-0.3488568095	0.44255019649999994	1.0007146432586347	2941.443791890724	2971.2887203239866
centered_cov_intercept	0.5749416589975	0.57308609	0.08822516692124799	0.082785025911	0.43480132800000004	0.7286660970000001	1.000588394915265	3001.756005494214	1620.165841858089
sigma_resid	0.3273953313875	0.32647887	0.07036682321777801	0.06750355636499998	0.21382895999999998	0.44175588849999997	1.0074971775030244	832.6552362316819	894.8060457301295
sigma_phylo	0.150054454257905	0.14132152	0.09989530282540389	0.11952163001099998	0.010946771650000001	0.3209498619999999	1.0035542269999493	742.6483503890062	1882.7129588962978
intercept	1.05041531705351	1.0508069	0.7059043017457846	0.6781688163599999	-0.09072977144999995	2.1938454299999997	1.0002081845775368	3246.0654459509733	2627.2196933740674
