variable	mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail
beta[1]	0.6085517817545	0.60849151	0.18449883356787644	0.18132896304600002	0.308061971	0.9154620465	1.0023078778066963	1960.5944197147578	2953.4593181720115
beta[2]	-0.07141278555912176	-0.0717112895	0.027246028603279206	0.0267325700859	-0.1158376995	-0.026186174049999997	1.0045634930109402	1737.9743411039342	2314.9550812751695
beta[3]	0.018266679415974	0.0181946765	0.007567549350177878	0.007238506875599999	0.005985199065	0.0308993536	1.0019508648785052	3955.9166810707416	2668.586107780342
beta[4]	-0.344093100729175	-0.34316540500000003	0.22195328146847357	0.21312910218599995	-0.7092089534999999	0.026326455049999854	1.0013377284334255	2365.098262133201	2529.8033951260954
beta[5]	0.02819789815914175	0.027594732	0.23651968672398557	0.23026007520179997	-0.35804800000000003	0.4139191304999999	1.0013826324488357	2490.034241442808	2576.084127171891
centered_cov_intercept	0.51313879079	0.5119999399999999	0.08559848105865808	0.08256169446000002	0.373357523	0.6505922235	1.0001841500675603	3120.268478735864	2346.3097833268325
sigma_resid	0.3296747030925	0.32474866	0.060600252997677385	0.057708262794000015	0.2382225285	0.4371439785	1.001718312727178	1721.518102787137	2265.347508019193
sigma_phylo	0.12775927909176324	0.116921585	0.08573337972041309	0.0937488069504	0.009895434735000002	0.28253481199999997	1.0050319193097146	1218.2572469190088	1829.3441802539583
intercept	0.9777622588097775	0.98484076	0.729913521148239	0.7138328260769999	-0.21009504449999997	2.16184583	1.0041178578661258	2850.5324105920395	2622.292910346441
